address,district,area,bedrooms,garage,type,rent,total,full_address,latitude,longitude,geo_cluster
Avenida Raimundo Pereira de Magalhães,Jardim Iris,45,2,0,Apartamento,3000,3621,"Avenida Raimundo Pereira de Magalhães, Jardim Iris, São Paulo, Brazil",-23.5005468,-46.7189087,93
Rua Jequitinhonha,Campestre,85,3,2,Apartamento,2047,2691,"Rua Jequitinhonha, Campestre, São Paulo, Brazil",-23.6390331,-46.5484018,120
Avenida Sapopemba,Jardim Planalto,32,2,0,Apartamento,1800,2169,"Avenida Sapopemba, Jardim Planalto, São Paulo, Brazil",-23.6065251,-46.5144509,86
Avenida do Cursino,Vila Moraes,63,2,1,Apartamento,2400,2993,"Avenida do Cursino, Vila Moraes, São Paulo, Brazil",-23.7679775,-47.4151693,36
Rua dos Democratas,Vila Monte Alegre,48,2,1,Apartamento,1900,2774,"Rua dos Democratas, Vila Monte Alegre, São Paulo, Brazil",-23.6289213,-46.6370796,137
Rua Álvaro de Carvalho,Centro,26,1,0,Studio e kitnet,2450,2995,"Rua Álvaro de Carvalho, Centro, São Paulo, Brazil",-23.4079651,-46.8424381,64
Rua Tenente Coronel Soares Neiva,Vila Aricanduva,35,2,0,Apartamento,1481,1788,"Rua Tenente Coronel Soares Neiva, Vila Aricanduva, São Paulo, Brazil",-23.5348971,-46.5424297,70
Rua Dom Paulo Pedrosa,Real Parque,80,1,1,Apartamento,3000,4206,"Rua Dom Paulo Pedrosa, Real Parque, São Paulo, Brazil",-23.6068571,-46.7016005,83
Rua Gomes de Carvalho,Vila Olímpia,75,3,1,Apartamento,3200,4253,"Rua Gomes de Carvalho, Vila Olímpia, São Paulo, Brazil",-23.5943649,-46.6907246,83
Rua Camargo Aranha,Pacaembu,350,4,2,Casa,10400,11660,"Rua Camargo Aranha, Pacaembu, São Paulo, Brazil",-23.5510433,-46.66747935,138
Rua Álvaro de Carvalho,Centro,37,2,0,Apartamento,2500,3220,"Rua Álvaro de Carvalho, Centro, São Paulo, Brazil",-23.4079651,-46.8424381,64
Rua Helvétia,Campos Elíseos,45,1,1,Apartamento,3100,3862,"Rua Helvétia, Campos Elíseos, São Paulo, Brazil",-23.1826439,-46.8971934,6
Rua Gravataí,Consolação,24,1,0,Studio e kitnet,3000,3575,"Rua Gravataí, Consolação, São Paulo, Brazil",-23.5489144,-46.6479256,96
Rua Mourato Coelho,Pinheiros,34,1,1,Studio e kitnet,3231,4083,"Rua Mourato Coelho, Pinheiros, São Paulo, Brazil",-23.5610655,-46.689315,41
Rua Paim,Bela Vista,50,1,1,Apartamento,4000,4918,"Rua Paim, Bela Vista, São Paulo, Brazil",-23.5541341,-46.6502118,96
